종목코드,종목명
053450.KQ,세코닉스
222810.KQ,세토피아
252500.KQ,세화피앤씨
321370.KQ,센서뷰
347000.KQ,센코
331920.KQ,셀레믹스
352770.KQ,셀레스트라
471820.KQ,셀로맥스사이언스
049180.KQ,셀루메드
299660.KQ,셀리드
108860.KQ,셀바스AI
208370.KQ,셀바스헬스케어
318160.KQ,셀바이오휴먼텍
308430.KQ,셀비온
068760.KQ,셀트리온제약
068940.KQ,셀피글로벌
007720.KQ,소노스퀘어
060230.KQ,소니드
290690.KQ,소룩스
950200.KQ,소마젠
032680.KQ,소프트센
032685.KQ,소프트센우
258790.KQ,소프트캠프
066910.KQ,손오공
215090.KQ,솔디펜스
035610.KQ,솔본
357780.KQ,솔브레인
036830.KQ,솔브레인홀딩스
304100.KQ,솔트룩스
328380.KQ,솔트웨어
086980.KQ,쇼박스
050960.KQ,수산아이앤티
084180.KQ,수성웹툰
253840.KQ,수젠텍
298830.KQ,슈어소프트테크
236200.KQ,슈프리마
094840.KQ,슈프리마에이치큐
192440.KQ,슈피겐코리아
424960.KQ,스마트레이더시스템
099440.KQ,스맥
276040.KQ,스코넥
060240.KQ,스타코링크
115570.KQ,스타플렉스
330730.KQ,스톤브릿지벤처스
352090.KQ,스톰테크
253450.KQ,스튜디오드래곤
408900.KQ,스튜디오미르
204630.KQ,스튜디오산타클로스
415380.KQ,스튜디오삼익
013810.KQ,스페코
347700.KQ,스피어
049830.KQ,승일
020710.KQ,시공테크
033170.KQ,시그네틱스
048870.KQ,시너지이노베이션
025320.KQ,시노펙스
340810.KQ,시선AI
269620.KQ,시스웍
056090.KQ,시지메드텍
429270.KQ,시지트로닉스
418250.KQ,시큐레터
131090.KQ,시큐브
290520.KQ,신도기연
001000.KQ,신라섬유
025870.KQ,신라에스지
215600.KQ,신라젠
065350.KQ,신성델타테크
416180.KQ,신성에스티
162300.KQ,신스틸
290560.KQ,신시웨이
002800.KQ,신신제약
472220.KQ,신영스팩10호
430220.KQ,신영스팩8호
445970.KQ,신영스팩9호
017000.KQ,신원종합개발
012790.KQ,신일제약
138070.KQ,신진에스엠
226330.KQ,신테카바이오
452980.KQ,신한제11호스팩
474660.KQ,신한제12호스팩
474930.KQ,신한제13호스팩
487360.KQ,신한제14호스팩
487830.KQ,신한제15호스팩
496070.KQ,신한제16호스팩
056700.KQ,신화인터텍
187270.KQ,신화콘텍
243840.KQ,신흥에스이씨
257720.KQ,실리콘투
222800.KQ,심텍
036710.KQ,심텍홀딩스
444530.KQ,심플랫폼
234030.KQ,싸이닉솔루션
160980.KQ,싸이맥스
356890.KQ,싸이버원
217330.KQ,싸이토젠
208640.KQ,썸에이지
222420.KQ,쎄노텍
037760.KQ,쎄니트
081180.KQ,쎄크
099320.KQ,쎄트렉아이
049960.KQ,쎌바이오텍
088280.KQ,쏘닉스
050890.KQ,쏠리드
394800.KQ,쓰리빌리언
177900.KQ,쓰리에이로직스
475400.KQ,씨메스
109670.KQ,씨싸이트
066790.KQ,씨씨에스
222080.KQ,씨아이에스
352480.KQ,씨앤씨인터내셔널
264660.KQ,씨앤지하이테크
352700.KQ,씨앤투스
458870.KQ,씨어스테크놀로지
297090.KQ,씨에스베어링
900120.KQ,씨엑스아이
359090.KQ,씨엔알리서치
115530.KQ,씨엔플러스
115480.KQ,씨유메디칼
376290.KQ,씨유테크
189330.KQ,씨이랩
096530.KQ,씨젠
101240.KQ,씨큐브
060590.KQ,씨티씨바이오
260930.KQ,씨티케이
413630.KQ,씨피시스템
013990.KQ,아가방컴퍼니
123860.KQ,아나패스
025980.KQ,아난티
125210.KQ,아모그린텍
357580.KQ,아모센스
052710.KQ,아모텍
074430.KQ,아미노로직스
092040.KQ,아미코젠
083930.KQ,아바코
149950.KQ,아바텍
036010.KQ,아비코전자
050860.KQ,아세아텍
136410.KQ,아셈스
246720.KQ,아스타
450950.KQ,아스테라시스
067390.KQ,아스트
159010.KQ,아스플로
127710.KQ,아시아경제
154030.KQ,아시아종묘
227610.KQ,아우딘퓨쳐스
331740.KQ,아우토크립트
143160.KQ,아이디스
054800.KQ,아이디스홀딩스
332370.KQ,아이디피
066430.KQ,아이로보틱스
339950.KQ,아이비김영
469750.KQ,아이비젼웍스
460470.KQ,아이빔테크놀로지
099190.KQ,아이센스
461300.KQ,아이스크림미디어
289010.KQ,아이스크림에듀
214430.KQ,아이쓰리시스템
040910.KQ,아이씨디
368600.KQ,아이씨에이치
456010.KQ,아이씨티케이
052860.KQ,아이앤씨
464500.KQ,아이언디바이스
212710.KQ,아이에스티이
038880.KQ,아이에이
307180.KQ,아이엘
101390.KQ,아이엠
461030.KQ,아이엠비디엑스
451220.KQ,아이엠티
090150.KQ,아이윈
123010.KQ,아이윈플러스
031310.KQ,아이즈비전
462980.KQ,아이지넷
185490.KQ,아이진
059100.KQ,아이컴포넌트
262840.KQ,아이퀘스트
175250.KQ,아이큐어
052460.KQ,아이크래프트
119830.KQ,아이텍
052770.KQ,아이톡시
124500.KQ,아이티센글로벌
010280.KQ,아이티센엔텍
232830.KQ,아이티센피엔에스
372800.KQ,아이티아이즈
084850.KQ,아이티엠반도체
114840.KQ,아이패밀리에스씨
027360.KQ,아주IB투자
032080.KQ,아즈텍WB
013310.KQ,아진산업
059120.KQ,아진엑스텍
203690.KQ,아크솔루션스
158430.KQ,아톤
200350.KQ,아티스트스튜디오
321820.KQ,아티스트컴퍼니
001540.KQ,안국약품
053800.KQ,안랩
065660.KQ,안트로젠
297570.KQ,알로이스
260660.KQ,알리코제약
354320.KQ,알멕
361570.KQ,알비더블유
131370.KQ,알서포트
140670.KQ,알에스오토메이션
096610.KQ,알에프세미
061040.KQ,알에프텍
148250.KQ,알엔투테크놀로지
347860.KQ,알체라
196170.KQ,알테오젠
123750.KQ,알톤
085810.KQ,알티캐스트
043100.KQ,알파녹스
117670.KQ,알파칩스
314140.KQ,알피바이오
291650.KQ,압타머사이언스
293780.KQ,압타바이오
310200.KQ,애니플러스
179530.KQ,애드바이오텍
900100.KQ,애머릿지
052790.KQ,액토즈소프트
290740.KQ,액트로
238090.KQ,앤디포스
092600.KQ,앤씨앤
129890.KQ,앱코
174900.KQ,앱클론
270520.KQ,앱트뉴로사이언스
255440.KQ,야스
030960.KQ,양지사
102120.KQ,어보브반도체
238120.KQ,얼라인드
019990.KQ,에너토크
435570.KQ,에르코스
270660.KQ,에브리봇
038680.KQ,에스넷
217480.KQ,에스디생명공학
121890.KQ,에스디시스템
304360.KQ,에스바이오메딕스
389500.KQ,에스비비테크
042110.KQ,에스씨디
298060.KQ,에스씨엠생명과학
065420.KQ,에스아이리소스
103230.KQ,에스앤더블류
260970.KQ,에스앤디
101490.KQ,에스앤에스텍
095910.KQ,에스에너지
275630.KQ,에스에스알
031330.KQ,에스에이엠티
060540.KQ,에스에이티
056190.KQ,에스에프에이
246250.KQ,에스엘에스바이오
041510.KQ,에스엠
460870.KQ,에스엠씨지
007820.KQ,에스엠코어
464080.KQ,에스오에스랩
109610.KQ,에스와이
365330.KQ,에스와이스틸텍
019590.KQ,에스유앤피
306040.KQ,에스제이그룹
398120.KQ,에스지헬스케어
457940.KQ,에스케이증권제10호스팩
472230.KQ,에스케이증권제11호스팩
473000.KQ,에스케이증권제12호스팩
473950.KQ,에스케이증권제13호스팩
455910.KQ,에스케이증권제9호스팩
475660.KQ,에스켐
096630.KQ,에스코넥
069510.KQ,에스텍
234300.KQ,에스트래픽
039440.KQ,에스티아이
098660.KQ,에스티오
052020.KQ,에스티큐브
237690.KQ,에스티팜
050760.KQ,에스폴리텍
288620.KQ,에스퓨얼셀
443670.KQ,에스피소프트
317830.KQ,에스피시스템스
058610.KQ,에스피지
043340.KQ,에쎈테크
163280.KQ,에어레인
054630.KQ,에이디칩스
200710.KQ,에이디테크놀로지
475580.KQ,에이럭스
096690.KQ,에이루트
298380.KQ,에이비엘바이오
203400.KQ,에이비온
195990.KQ,에이비프로바이오
003800.KQ,에이스침대
088800.KQ,에이스테크
241840.KQ,에이스토리
364950.KQ,에이아이코리아
453860.KQ,에이에스텍
312610.KQ,에이에프더블류
172670.KQ,에이엘티
481070.KQ,에이유브랜즈
445090.KQ,에이직랜드
295310.KQ,에이치브이엠
072990.KQ,에이치시티
044990.KQ,에이치엔에스하이텍
239610.KQ,에이치엘사이언스
036170.KQ,에이치엠넥스
462020.KQ,에이치엠씨제6호스팩
477340.KQ,에이치엠씨제7호스팩
148930.KQ,에이치와이티씨
376270.KQ,에이치이엠파마
044780.KQ,에이치케이
357230.KQ,에이치피오
355690.KQ,에이텀
071670.KQ,에이테크솔루션
045660.KQ,에이텍
224110.KQ,에이텍모빌리티
021080.KQ,에이티넘인베스트
200470.KQ,에이팩트
262260.KQ,에이프로
397030.KQ,에이프릴바이오
230240.KQ,에치에프알
159910.KQ,에코글로우
230360.KQ,에코마케팅
038870.KQ,에코바이오
097780.KQ,에코볼트
448280.KQ,에코아이
101360.KQ,에코앤드림
128540.KQ,에코캡
086520.KQ,에코프로
247540.KQ,에코프로비엠
383310.KQ,에코프로에이치엔
038110.KQ,에코플라스틱
073540.KQ,에프알텍
064850.KQ,에프앤가이드
036810.KQ,에프에스티
173940.KQ,에프엔씨엔터
083500.KQ,에프엔에스테크
054940.KQ,엑사이엔씨
950130.KQ,엑세스바이오
373110.KQ,엑셀세라퓨틱스
205100.KQ,엑셈
356680.KQ,엑스게이트
070300.KQ,엑스큐어
317770.KQ,엑스페릭스
373200.KQ,엑스플러스
069920.KQ,엑시온그룹
092870.KQ,엑시콘
317870.KQ,엔바이오니아
067570.KQ,엔브이에이치코리아
236810.KQ,엔비티
333620.KQ,엔시스
101400.KQ,엔시트론
078860.KQ,엔에스이엔엠
440820.KQ,엔에이치스팩27호
451700.KQ,엔에이치스팩29호
466910.KQ,엔에이치스팩30호
481890.KQ,엔에이치스팩31호
265740.KQ,엔에프씨
354200.KQ,엔젠바이오
455900.KQ,엔젤로보틱스
419080.KQ,엔젯
208860.KQ,엔지스테크널러지
